Sample ID,Site Name,Site Code,"Depositional Context (Burial = 1, Kiln = 2)","Dated Samples (Shitamura 1994; Kyushu Early Modern Ceramics Society, 2000) (0=undated)",Site Report ID,Page Number
FR1,FURUKAMEYASHIMO,FR,2,0,1,157
FR2,FURUKAMEYASHIMO,FR,2,0,1,156
FR3,FURUKAMEYASHIMO,FR,2,0,1,156
FR5,FURUKAMEYASHIMO,FR,2,0,1,157
FR6,FURUKAMEYASHIMO,FR,2,0,1,157
FR12,FURUKAMEYASHIMO,FR,2,0,1,156
FR32,FURUKAMEYASHIMO,FR,2,0,1,157
FR33,FURUKAMEYASHIMO,FR,2,0,1,156
FR52,FURUKAMEYASHIMO,FR,2,0,1,156
FR151,FURUKAMEYASHIMO,FR,2,0,1,105
FR152,FURUKAMEYASHIMO,FR,2,0,1,105
FR153,FURUKAMEYASHIMO,FR,2,0,1,105
FR154,FURUKAMEYASHIMO,FR,2,0,1,105
FR155,FURUKAMEYASHIMO,FR,2,0,1,105
FR156,FURUKAMEYASHIMO,FR,2,0,1,105
FR157,FURUKAMEYASHIMO,FR,2,0,1,105
FR158,FURUKAMEYASHIMO,FR,2,0,1,105
FR159,FURUKAMEYASHIMO,FR,2,0,1,105
FR161,FURUKAMEYASHIMO,FR,2,0,1,107
FR162,FURUKAMEYASHIMO,FR,2,0,1,107
FR163,FURUKAMEYASHIMO,FR,2,0,1,107
FR164,FURUKAMEYASHIMO,FR,2,0,1,107
FR165,FURUKAMEYASHIMO,FR,2,0,1,107
FR166,FURUKAMEYASHIMO,FR,2,0,1,107
FR167,FURUKAMEYASHIMO,FR,2,0,1,107
FR221,FURUKAMEYASHIMO,FR,2,0,1,114
FR243,FURUKAMEYASHIMO,FR,2,0,1,116
FR251,FURUKAMEYASHIMO,FR,2,0,1,117
FR252,FURUKAMEYASHIMO,FR,2,0,1,117
FR253,FURUKAMEYASHIMO,FR,2,0,1,117
FR254,FURUKAMEYASHIMO,FR,2,0,1,117
FR255,FURUKAMEYASHIMO,FR,2,0,1,117
FR256,FURUKAMEYASHIMO,FR,2,0,1,117
FR257,FURUKAMEYASHIMO,FR,2,0,1,117
FR258,FURUKAMEYASHIMO,FR,2,0,1,117
FR321,FURUKAMEYASHIMO,FR,2,0,1,126
FR322,FURUKAMEYASHIMO,FR,2,0,1,126
FR326,FURUKAMEYASHIMO,FR,2,0,1,126
FR327,FURUKAMEYASHIMO,FR,2,0,1,126
FR328,FURUKAMEYASHIMO,FR,2,0,1,126
FR329,FURUKAMEYASHIMO,FR,2,0,1,126
FR331,FURUKAMEYASHIMO,FR,2,0,1,127
FR391,FURUKAMEYASHIMO,FR,2,0,1,135
FR392,FURUKAMEYASHIMO,FR,2,0,1,135
FR393,FURUKAMEYASHIMO,FR,2,0,1,135
FR395,FURUKAMEYASHIMO,FR,2,0,1,135
FR396,FURUKAMEYASHIMO,FR,2,0,1,135
FR401,FURUKAMEYASHIMO,FR,2,0,1,136
FR402,FURUKAMEYASHIMO,FR,2,0,1,136
FR403,FURUKAMEYASHIMO,FR,2,0,1,136
FR411,FURUKAMEYASHIMO,FR,2,0,1,137
FR412,FURUKAMEYASHIMO,FR,2,0,1,137
FR413,FURUKAMEYASHIMO,FR,2,0,1,137
FR414,FURUKAMEYASHIMO,FR,2,0,1,137
FR415,FURUKAMEYASHIMO,FR,2,0,1,137
FR416,FURUKAMEYASHIMO,FR,2,0,1,137
FR421,FURUKAMEYASHIMO,FR,2,0,1,138
FR422,FURUKAMEYASHIMO,FR,2,0,1,138
FR423,FURUKAMEYASHIMO,FR,2,0,1,138
FR424,FURUKAMEYASHIMO,FR,2,0,1,138
FR425,FURUKAMEYASHIMO,FR,2,0,1,138
FR427,FURUKAMEYASHIMO,FR,2,0,1,138
FR428,FURUKAMEYASHIMO,FR,2,0,1,138
FR429,FURUKAMEYASHIMO,FR,2,0,1,138
FR487,FURUKAMEYASHIMO,FR,2,0,1,146
FR488,FURUKAMEYASHIMO,FR,2,0,1,146
FR489,FURUKAMEYASHIMO,FR,2,0,1,146
FR491,FURUKAMEYASHIMO,FR,2,0,1,147
FR492,FURUKAMEYASHIMO,FR,2,0,1,147
FR493,FURUKAMEYASHIMO,FR,2,0,1,147
FR494,FURUKAMEYASHIMO,FR,2,0,1,147
FR501,FURUKAMEYASHIMO,FR,2,0,1,148
FR502,FURUKAMEYASHIMO,FR,2,0,1,148
FR504,FURUKAMEYASHIMO,FR,2,0,1,148
FR511,FURUKAMEYASHIMO,FR,2,0,1,149
FR512,FURUKAMEYASHIMO,FR,2,0,1,149
FR513,FURUKAMEYASHIMO,FR,2,0,1,149
FR514,FURUKAMEYASHIMO,FR,2,0,1,149
FR515,FURUKAMEYASHIMO,FR,2,0,1,149
FR516,FURUKAMEYASHIMO,FR,2,0,1,149
FR517,FURUKAMEYASHIMO,FR,2,0,1,149
FR531,FURUKAMEYASHIMO,FR,2,0,1,152
FR532,FURUKAMEYASHIMO,FR,2,0,1,152
FR534,FURUKAMEYASHIMO,FR,2,0,1,152
FR535,FURUKAMEYASHIMO,FR,2,0,1,152
FR1510,FURUKAMEYASHIMO,FR,2,0,1,105
FR1511,FURUKAMEYASHIMO,FR,2,0,1,105
FR1512,FURUKAMEYASHIMO,FR,2,0,1,105
FR2511,FURUKAMEYASHIMO,FR,2,0,1,117
HK001,HAKOZAKI,HK,1,0,2,29
HK019,HAKOZAKI,HK,1,0,2,29
HK031,HAKOZAKI,HK,1,0,2,30
HK845,HAKOZAKI,HK,1,0,2,30
KM3,KAMEYA,KM,2,0,5,163
KM35,KAMEYA,KM,2,0,5,105
KM36,KAMEYA,KM,2,0,5,105
KM38,KAMEYA,KM,2,0,5,105
KM39,KAMEYA,KM,2,0,5,105
KM40,KAMEYA,KM,2,0,5,105
KM41,KAMEYA,KM,2,0,5,106
KM42,KAMEYA,KM,2,0,5,106
KM49,KAMEYA,KM,2,0,4,90
KM56,KAMEYA,KM,2,0,5,171
KM57,KAMEYA,KM,2,0,5,171
KM58,KAMEYA,KM,2,0,5,171
KM69,KAMEYA,KM,2,0,4,92
KM70,KAMEYA,KM,2,0,4,92
KM71,KAMEYA,KM,2,0,4,92
KM72,KAMEYA,KM,2,0,4,92
