Site Name (English),Site Name (Japanese),Site Code,Deposition Type,Vessel Count,Coordinates,Region (Province (modern day prefecture)),Excavation Year(s),Site Report(s) (English) [Site Report ID],Site Report(s) (Japanese),Site Report Available on Nabunken's Database? https://sitereports.nabunken.go.jp/en
Furukameyashimo ,古瓶屋下窯跡,FR,Kiln,89,"33.2907° N, 129.8891° E",Hizen Province (Saga Prefecture),2018,"[1] Komatsu, Y. (2022). Furukameyashimo Kiln Site (Saga Prefectural Cultural Properties Survey Report No. 230). Saga Prefecture. https://doi.org/10.24484/sitereports.122701",[1] 小松譲 2022『古瓶屋下窯跡』(佐賀県文化財調査報告書230). 佐賀県. https://doi.org/10.24484/sitereports.122701,Y
Hakozaki ,箱崎遺跡,HK,Mortuary,4,"33.6139° N, 130.4200° E",Chikuzen Province (Fukuoka Prefecture),2010,"[2] Kusumi, T. (2010). Hakozaki: Report of the 62nd excavation (Fukuoka City Buried Cultural Property Investigation Report No. 1093). Fukuoka City Board of Education. https://doi.org/10.24484/sitereports.20612",[2] 久住猛雄 2010 『箱崎：第62次調査報告』(福岡市埋蔵文化財調査報告書1093). 福岡市教育委員会. https://doi.org/10.24484/sitereports.20612,Y
Kameya ,甕屋遺跡,KM,Kiln,48,"33.1586° N, 129.9953° E",Hizen Province (Saga Prefecture),1984 - 1988,"[3] Takeo City Board of Education. (1989). The Kameya Site. In Takeo City Cultural Properties Research Report 20. Takeo City Board of Education.

[4] Saga Prefectural Board of Education. (2019). Kameya kiln site / Kōno Castle site (Saga Prefectural Cultural Property Research Report No. 221). Saga Prefectural Board of Education.

[5] Saga Prefectural Board of Education. (1996). Uchinosan-kita kiln site / Kameya kiln site (Saga Prefectural Cultural Property Research Report No. 129). Saga Prefectural Board of Education.","[3] 武雄市教育委員会 1988『甕屋遺跡』武雄市文化財調査報告書3、武雄市教育委員会

[4] 佐賀県教育委員会 2019『甕屋窯跡・柿野城跡』佐賀県文化財調査報告書221、佐賀県教育委員会

[5] 佐賀県教育委員会 1996『内野山北窯跡・甕屋窯跡』佐賀県文化財調査報告書129、佐賀県教育委員会",N
Kamitsukiguma ,上月隈遺跡,KT,Mortuary,4,"33.5725° N, 130.4644° E",Chikuzen Province (Fukuoka Prefecture),1989,[6] Fukuoka City Board of Education. (1991). Kamitsukiguma Site (Fukuoka City Archaeological Report No. 257). Fukuoka City Board of Education. https://doi.org/10.24484/sitereports.17348,[6] 福岡市教育委員会 1991『上月隈遺跡』福岡市埋蔵文化財調査報告書257、福岡市教育委員会。https://sitereports.nabunken.go.jp/17348,Y
Monda ,門田遺跡,MD,Mortuary,12,"33.5183° N, 130.4381° E",Chikuzen Province (Fukuoka Prefecture),1971,"[7] Fukuoka Prefectural Board of Education. (1978). Investigation of the Monden Site Burial Group, Tsujibata Area, Kamishirouzu, Kasuga City (Sanyo Shinkansen Archaeological Report No. 9). Fukuoka Prefectural Board of Education. https://doi.org/10.24484/sitereports.62648",[7] 福岡県教育委員会 1978『春日市大字上白水字門田・辻田所在門田遺跡辻田地区墓地群の調査』山陽新幹線関係埋蔵文化財調査報告9。福岡県教育委員会。https://sitereports.nabunken.go.jp/62648,Y
Motooka-Kuwabara ,元岡・桑原遺跡,MT,Mortuary,10,"33.5992° N, 130.2300° E",Chikuzen Province (Fukuoka Prefecture),2000 - 2005,"[8] Fukuoka City Board of Education. (2011). Moto-oka / Kuwabara Site Group: Report of the 20th Investigation (4), 36th (2), 38th, and 45th Investigations within the Kyushu University Relocation Project Area (Fukuoka City Archaeological Report No. 1105). Fukuoka City Board of Education. https://doi.org/10.24484/sitereports.20627",[8] 福岡市教育委員会 2011『元岡・桑原遺跡群』福岡市埋蔵文化財調査報告書1105。福岡市教育委員会。https://sitereports.nabunken.go.jp/20627,Y
Mushirodaaoki,席田青木遺跡,MR,Mortuary,36,"33.5928° N, 130.4556° E",Chikuzen Province (Fukuoka Prefecture),1992,"[9] Fukuoka City Board of Education. (1993). Mushiroda-Aoki Site: Excavation in Advance of Airport District Redevelopment (Fukuoka City Archaeological Report No. 356, Vol. 1). Fukuoka City Board of Education. https://doi.org/10.24484/sitereports.17650",[9] 福岡市教育委員会 1993『席田青木遺跡』福岡市埋蔵文化財調査報告書356。福岡市教育委員会。https://sitereports.nabunken.go.jp/17650,Y
Nishinakano,西中野遺跡,NS,Mortuary,11,"33.2684° N, 130.3105° E",Hizen Province (Saga Prefecture),2000 - 2007,"[10] Saga City Board of Education. (2011). Nishinokano Site XIV: Excavations in Areas 13, 39, 40, and 45 (Saga City Buried Cultural Property Investigation Report No. 65 / Rescue Archaeology Report No. 28). Saga City Board of Education.

[11] Saga City Board of Education. (2008). Nishinokano Site III: Excavations in Areas 1 and 2 (Saga City Buried Cultural Property Investigation Report No. 25 / Rescue Archaeology Report No. 6). Saga City Board of Education.","[10] 佐賀市教育委員会 2011『西中野遺跡XIV ―13・39・40・45区の調査―』佐賀市埋蔵文化財調査報告書第65集・埋蔵文化財発掘調査報告書第28集。佐賀市教育委員会。

[11] 佐賀市教育委員会 2008『西中野遺跡Ⅲ ―1・2区の調査―』佐賀市埋蔵文化財調査報告書第25集・埋蔵文化財発掘調査報告書第6集。佐賀市教育委員会。",N
Nita Kofun ,仁田古墳群,NT,Mortuary,21,"33.4528° N, 130.0519° E",Chikuzen Province (Fukuoka Prefecture),2005 - 2008,"[12] Saga Prefectural Board of Education. (2010). Nita Kofun Cluster (Nita Kofun Areas 1–3, Yahagi Site Area 4, Shimoshinden Kofun Cluster, Osaka Kofun Cluster). Saga Prefectural Cultural Property Research Report 183. http://doi.org/10.24484/sitereports.18599",[12] 佐賀県教育委員会 2010『仁田古墳群(仁田古墳群1・2・3区・矢作遺跡4区・下新田古墳群・大坂古墳群)』佐賀県文化財調査報告書183。佐賀県教育委員会。http://doi.org/10.24484/sitereports.18599,Y
Takamatsu Cemetery ,高松家の墓地,TK,Mortuary,2,"33.4019° N, 130.5767° E",Chikuzen Province (Fukuoka Prefecture),1985,"[13] Fukuoka Prefectural Board of Education. (1990). Investigation of the Takamatsu Family Cemetery in Ogōri City. Report on the Cultural Property Survey Related to the Kyushu Transversal Expressway, No. 16. https://doi.org/10.24484/sitereports.72444",[13] 福岡県教育委員会 1990『九州横断自動車道関係埋蔵文化財調査報告16：小郡市所在高松家墓地の調査』福岡県教育委員会。https://doi.org/10.24484/sitereports.72444,Y
